country,app,installs,daus,retention_rate_d7,roas_d7,cost
United States,Merge Fever,1230,1607.25,0.233,0.6033,3877.2392
India,Merge Fever,1154,1328.875,0.0843,0.9968,60.4175
Indonesia,Merge Fever,626,661.75,0.1743,0.366,118.4024
United Kingdom,Merge Fever,517,718.75,0.2245,0.8285,1499.9633
Philippines,Merge Fever,464,312.75,0.0725,0.2201,128.15
Germany,Merge Fever,438,668.375,0.2478,0.6523,676.8848
United States,Merge HomeTown,394,361.0,0.1154,0.3425,544.865
Malaysia,Merge Fever,361,374.625,0.1335,0.6438,164.6714
Thailand,Merge Fever,318,407.75,0.1877,0.5186,127.0059
Egypt,Merge Fever,289,454.5,0.2062,0.2526,19.705
Japan,Merge Fever,266,613.875,0.1898,0.7033,393.2498
Brazil,Merge Fever,250,469.875,0.126,1.2943,16.9216
Viet Nam,Merge Fever,218,258.125,0.1623,0.4451,42.7718
South Africa,Merge Fever,211,217.75,0.1495,0.4023,90.8888
France,Merge Fever,150,241.875,0.2384,0.0,0.0
Mexico,Merge Fever,148,246.75,0.1783,1.0434,51.5251
Australia,Merge Fever,139,109.75,0.2028,0.653,331.6222
South Korea,Merge Fever,126,169.125,0.1984,0.0,0.0
India,Merge HomeTown,108,88.375,0.0833,0.0,0.0
Netherlands,Merge Fever,106,157.75,0.2056,0.5698,117.5206
United States,Tales and Dragon,100,111.375,0.14,0.0,0.0
Spain,Merge Fever,90,194.75,0.1778,0.0,0.0
Canada,Merge HomeTown,87,102.625,0.0753,0.2517,132.8708
Canada,Merge Fever,81,191.0,0.2921,0.728,136.3816
Italy,Merge Fever,80,127.75,0.2,0.0,0.0
Czech Republic,Merge Fever,78,109.875,0.1282,1.4281,57.839
"Taiwan, Province Of China",Merge Fever,77,115.125,0.1728,0.2152,112.0292
Brazil,Merge HomeTown,75,70.25,0.04,0.0,0.0
Poland,Merge Fever,74,96.0,0.2267,0.0,0.0
France,Merge HomeTown,69,96.5,0.2174,0.0,0.0
Morocco,Merge Fever,66,75.75,0.0909,0.1844,7.1989
Turkey,Merge Fever,64,74.25,0.125,0.0,0.0
United Kingdom,Merge HomeTown,62,81.125,0.1129,0.0,0.0
Germany,Merge HomeTown,61,103.75,0.1803,0.0,0.0
Lebanon,Merge Fever,60,87.875,0.1613,0.1017,7.4397
Chile,Merge Fever,58,106.25,0.1667,2.4314,21.659
Colombia,Merge Fever,58,88.25,0.1,0.2662,8.5401
Ukraine,Merge Fever,57,64.375,0.2982,0.0,0.0
Germany,Tales and Dragon,55,61.375,0.1818,0.0,0.0
Italy,Merge HomeTown,52,55.5,0.1346,0.0,0.0
Pakistan,Merge Fever,52,24.5,0.0,0.0,0.0
Saudi Arabia,Merge Fever,51,66.75,0.1321,0.3932,41.4471
Sweden,Merge Fever,50,77.75,0.26,1.0876,57.7422
Argentina,Merge Fever,48,61.875,0.2083,0.0,0.0
Indonesia,Merge HomeTown,43,45.75,0.1163,0.0,0.0
Ireland,Merge Fever,43,42.375,0.1591,0.4049,89.3361
Israel,Merge Fever,43,61.5,0.1628,0.1929,36.14
Singapore,Merge Fever,43,61.5,0.1628,0.7674,77.1165
Spain,Merge HomeTown,43,48.5,0.093,0.0,0.0
Bulgaria,Merge Fever,42,59.125,0.2093,0.2813,34.9615
Greece,Merge Fever,42,69.875,0.2381,0.0,0.0
Thailand,Merge HomeTown,42,35.0,0.1429,0.0,0.0
Viet Nam,Merge HomeTown,42,26.75,0.1429,0.0,0.0
New Zealand,Merge Fever,39,49.0,0.2195,0.1342,102.483
Peru,Merge Fever,38,62.25,0.3077,0.6565,9.3806
Canada,Tales and Dragon,37,26.25,0.0732,0.0769,166.2461
Turkey,Merge HomeTown,34,40.375,0.0882,0.0,0.0
United Arab Emirates,Merge Fever,34,35.25,0.0294,0.1049,36.7157
"Iran, Islamic Republic Of",Merge Fever,32,62.375,0.1212,0.0,0.0
Finland,Merge Fever,31,32.875,0.1935,0.602,23.6511
Bangladesh,Merge Fever,30,16.5,0.1,0.0,0.0
France,Tales and Dragon,30,34.625,0.1,0.0,0.0
Romania,Merge Fever,30,39.75,0.2,0.0,0.0
Ukraine,Merge HomeTown,30,25.5,0.1333,0.0,0.0
Belgium,Merge Fever,29,49.875,0.3103,0.0,0.0
Brazil,Tales and Dragon,28,16.75,0.1429,0.0,0.0
Denmark,Merge Fever,28,42.75,0.2,0.4563,34.7705
Portugal,Merge Fever,28,41.375,0.1786,0.0,0.0
India,Tales and Dragon,27,17.5,0.1481,0.0,0.0
Kenya,Merge Fever,27,23.375,0.0357,0.1033,3.4072
Dominican Republic,Merge Fever,25,30.0,0.1111,1.0893,3.1491
United Kingdom,Tales and Dragon,25,23.875,0.12,0.0,0.0
Poland,Merge HomeTown,24,33.625,0.2083,0.0,0.0
Portugal,Merge HomeTown,23,21.625,0.0417,0.0,0.0
South Korea,Merge HomeTown,22,33.25,0.1818,0.0,0.0
Iraq,Merge Fever,21,19.5,0.1429,0.0,0.0
Hong Kong,Merge Fever,20,45.125,0.1429,0.3914,35.403
Norway,Merge Fever,20,39.625,0.1,0.1138,45.4517
Australia,Merge HomeTown,19,28.25,0.15,0.0,0.0
Iraq,Merge HomeTown,19,13.625,0.0526,0.0,0.0
Japan,Merge HomeTown,19,17.0,0.1579,0.0,0.0
Jordan,Merge Fever,19,26.375,0.1,0.3161,2.2298
Netherlands,Merge HomeTown,19,32.5,0.2632,0.0,0.0
Guatemala,Merge Fever,18,27.875,0.3684,0.2933,2.883
Kuwait,Merge Fever,18,14.75,0.1111,0.1997,12.2204
Philippines,Merge HomeTown,18,14.0,0.2222,0.0,0.0
Switzerland,Merge Fever,18,37.75,0.3158,0.4275,40.3752
Hungary,Merge HomeTown,17,21.125,0.1176,0.0,0.0
Puerto Rico,Merge Fever,17,24.75,0.1667,0.344,10.2663
South Africa,Merge HomeTown,17,17.25,0.1765,0.0,0.0
Egypt,Merge HomeTown,16,15.125,0.125,0.0,0.0
Poland,Tales and Dragon,16,25.0,0.125,0.0,0.0
Czech Republic,Merge HomeTown,15,12.625,0.0667,0.0,0.0
Honduras,Merge Fever,15,17.0,0.2667,1.2332,1.7352
Italy,Tales and Dragon,15,11.75,0.2,0.0,0.0
Romania,Merge HomeTown,15,15.625,0.0667,0.0,0.0
